,0
871,6733.2334
872,6703.882
873,6494.327
874,7164.9824
875,1111.1335
876,1372.2837
877,1316.8379
878,3706.5688
879,5200.1567
880,1381.4727
881,2483.687
882,2372.0896
883,4755.692
884,5534.213
885,5039.5786
886,5198.814
887,7254.697
888,5703.507
889,6106.9614
890,6534.3984
891,6559.85
892,6416.6206
893,6376.553
894,6196.733
895,6679.9927
896,6693.4644
897,6555.4893
898,6456.678
899,6217.9175
900,5659.0063
901,6991.91
902,6627.7837
903,6494.177
904,6078.978
905,1171.1696
906,6663.9507
907,6530.484
908,6479.1533
909,6190.7393
910,7149.6587
911,7201.569
912,7196.8086
913,6951.7495
914,6109.3315
915,7518.0894
916,7525.3438
917,7436.8047
918,7114.7754
919,6391.126
920,7558.3105
921,6169.2456
922,7466.155
923,5978.785
924,6398.2236
925,4505.731
926,5241.829
927,5936.9604
928,5842.3926
929,5843.309
930,5334.207
931,5798.6343
932,5936.9604
933,6166.104
934,5958.51
935,6404.028
936,6592.596
937,6698.124
938,6494.7407
939,6123.4727
940,6986.4873
941,7036.954
942,6994.977
943,6710.478
944,6249.8633
945,7038.7075
946,7081.5547
947,7029.938
948,6738.7754
949,6447.6377
950,3961.4854
951,7068.7383
952,7307.727
953,6883.4404
954,6525.1797
955,7202.2104
956,7340.38
957,7307.727
958,6931.637
959,6541.009
960,7332.1704
961,7406.9785
962,7287.9824
963,6968.9546
964,6554.7666
965,7407.8613
966,7449.0874
967,7370.6523
968,6986.382
969,6561.441
970,7416.361
971,7453.87
972,7373.1523
973,6988.2676
974,6562.1055
975,7256.764
976,7368.0117
977,7338.184
978,7006.712
979,7036.972
980,7323.5454
981,7413.2046
982,7369.861
983,7036.038
984,7289.021
985,7398.6636
986,7452.9624
987,7394.516
988,7068.2764
989,7295.1553
990,7423.329
991,7449.9023
992,7381.2803
993,7042.916
994,7292.455
995,7256.764
996,7368.0117
997,7338.184
998,7006.712
999,7036.972
1000,5153.561
1001,5495.556
1002,6131.081
1003,6174.603
1004,5929.4907
1005,6033.954
1006,6205.723
1007,6518.3076
1008,6454.926
1009,6059.7983
1010,6882.8467
1011,6907.0596
1012,6789.8506
1013,6711.811
1014,6229.507
1015,7299.699
1016,7290.755
1017,7206.9155
1018,6932.934
1019,6320.3374
1020,7346.9985
1021,7335.651
1022,7245.045
1023,7202.239
1024,6328.4424
1025,5748.66
1026,6107.3086
1027,6493.242
1028,6372.7617
1029,6001.6353
1030,6450.839
1031,6609.755
1032,6761.4937
1033,6589.5645
1034,6115.029
1035,7035.008
1036,7074.115
1037,7047.352
1038,6796.837
1039,6245.4434
1040,7353.913
1041,7353.8335
1042,7262.2705
1043,6957.864
1044,6317.4375
1045,7389.2495
1046,7385.761
