d-12,d0,d12,d24,d36,d48,d60,d72,Load,T_conc,T_base,E_subg,E_base,E_conc
1.0221,1.0701,1.0221,0.956519,0.874406,0.779974,0.675704,0.564228,12000,300,300,70,350,14000
0.8239,0.869,0.8239,0.771071,0.706406,0.632497,0.551141,0.464698,12000,300,300,70,1400,14000
0.3818,0.4216,0.3818,0.358945,0.33205,0.301265,0.267554,0.232214,12000,300,300,500,14000,14000
1.793,3.4737,1.793,0.879748,0.385653,0.178778,0.120687,0.114376,12000,300,300,500,30,500
1.0267,2.5369,1.0267,0.428581,0.182348,0.10407,0.0843091,0.0771795,12000,300,300,500,70,500
0.4721,1.7271,0.4721,0.221256,0.140879,0.106757,0.0877228,0.0750473,12000,300,300,500,350,500
0.3156,1.4499,0.3156,0.189161,0.140753,0.109884,0.0891734,0.0749318,12000,300,300,500,1400,500
0.2185,1.2917,0.2185,0.162614,0.136662,0.112484,0.09183,0.075255,12000,300,300,500,14000,500
1.4139,2.3212,1.4139,0.815465,0.426149,0.214637,0.126469,0.10469,12000,300,300,500,30,1000
0.8689,1.6935,0.8689,0.441507,0.217143,0.1223,0.0903158,0.0767725,12000,300,300,500,70,1000
0.4336,1.1177,0.4336,0.228529,0.144582,0.107502,0.0873142,0.0744665,12000,300,300,500,350,1000
0.2527,0.4515,0.2527,0.180112,0.136504,0.107713,0.0875359,0.0729727,12000,300,300,500,1400,1000
0.2005,0.7414,0.2005,0.159291,0.133633,0.110648,0.0908766,0.0746984,12000,300,300,500,14000,1000
0.8726,1.1652,0.8726,0.621084,0.413417,0.264426,0.168827,0.111645,12000,300,300,500,30,3500
0.5955,0.867,0.5955,0.395228,0.249994,0.159643,0.10926,0.0826282,12000,300,300,500,70,3500
0.3529,0.5864,0.3529,0.2287,0.154297,0.112422,0.0883925,0.0735986,12000,300,300,500,350,3500
0.2914,0.888,0.2914,0.187475,0.139635,0.109312,0.0887442,0.0743135,12000,300,300,500,1400,3500
0.1693,0.3297,0.1693,0.143049,0.122268,0.103373,0.0866575,0.0721133,12000,300,300,500,14000,3500
0.5317,0.625,0.5317,0.435145,0.341133,0.259114,0.19134,0.136826,12000,300,300,500,30,12000
0.3903,0.4784,0.3903,0.307585,0.233293,0.173683,0.128717,0.0954705,12000,300,300,500,70,12000
0.2662,0.3455,0.2662,0.20427,0.154735,0.118599,0.093052,0.0749078,12000,300,300,500,350,12000
0.2111,0.2812,0.2111,0.166303,0.131905,0.106062,0.0865171,0.0714921,12000,300,300,500,1400,12000
0.1378,0.1896,0.1378,0.120432,0.105349,0.0912312,0.0781769,0.0662687,12000,300,300,500,14000,12000
0.5008,0.5817,0.5008,0.415253,0.330367,0.254802,0.190945,0.138365,12000,300,300,500,30,14000
0.3698,0.4462,0.3698,0.296253,0.22859,0.172992,0.129777,0.0968025,12000,300,300,500,70,14000
0.2558,0.325,0.2558,0.199729,0.153515,0.1188,0.0935711,0.0751853,12000,300,300,500,350,14000
0.2053,0.2669,0.2053,0.163797,0.13092,0.105717,0.0863717,0.0713093,12000,300,300,500,1400,14000
0.1342,0.1795,0.1342,0.117669,0.103175,0.0895747,0.0769294,0.0653441,12000,300,300,1000,14000,14000
1.6519,3.3215,1.6519,0.764631,0.295556,0.104828,0.0584126,0.0601145,12000,300,300,1000,30,500
0.8804,2.3784,0.8804,0.313198,0.0992034,0.0478496,0.0414291,0.0388954,12000,300,300,1000,70,500
0.3494,1.5937,0.3494,0.124858,0.0698981,0.0532441,0.0450776,0.0397463,12000,300,300,1000,350,500
0.2058,1.3344,0.2058,0.0994207,0.0714258,0.0559473,0.0459045,0.0395366,12000,300,300,1000,1400,500
0.1374,1.2151,0.1374,0.0874985,0.0718436,0.057917,0.0469163,0.0391321,12000,300,300,1000,14000,500
1.2923,2.1925,1.2923,0.711689,0.343274,0.14837,0.067572,0.0508783,12000,300,300,1000,30,1000
0.7365,1.5538,0.7365,0.331836,0.132645,0.0584058,0.0412116,0.0371601,12000,300,300,1000,70,1000
0.318,0.9942,0.318,0.134916,0.0739511,0.0536204,0.0446236,0.0392526,12000,300,300,1000,350,1000
0.189,0.7814,0.189,0.101849,0.0718537,0.0557731,0.0457142,0.0391648,12000,300,300,1000,1400,1000
0.1237,0.668,0.1237,0.0880552,0.0714727,0.0577162,0.0469321,0.0391109,12000,300,300,1000,14000,1000
0.7876,1.0777,0.7876,0.543635,0.346101,0.206835,0.118967,0.0688673,12000,300,300,1000,30,3500
0.4964,0.7644,0.4964,0.306247,0.174383,0.096823,0.0574017,0.0404434,12000,300,300,1000,70,3500
0.2545,0.4834,0.2545,0.143475,0.0849476,0.0574381,0.0447261,0.0382546,12000,300,300,1000,350,3500
0.165,0.3609,0.165,0.102907,0.0723254,0.0554989,0.0451791,0.0385048,12000,300,300,1000,1400,3500
0.1053,0.2681,0.1053,0.0829119,0.0681303,0.0560508,0.0463574,0.038842,12000,300,300,1000,14000,3500
0.474,0.5675,0.474,0.379385,0.288907,0.211619,0.149422,0.101058,12000,300,300,1000,30,12000
0.32,0.4077,0.32,0.240703,0.171838,0.118878,0.0811336,0.0556516,12000,300,300,1000,70,12000
0.1884,0.2663,0.1884,0.132485,0.0916195,0.0650775,0.048819,0.0391126,12000,300,300,1000,350,12000
0.0887,0.1413,0.0887,0.0735899,0.0621323,0.0524795,0.0443615,0.0376235,12000,300,300,1000,1400,12000
0.1375,0.2064,0.1375,0.098805,0.0729025,0.0561257,0.0451592,0.0378211,12000,300,300,1000,14000,12000
0.4458,0.5269,0.4458,0.361908,0.280215,0.208963,0.15033,0.103592,12000,300,300,1000,30,14000
0.3025,0.3786,0.3025,0.231786,0.169013,0.119512,0.0831457,0.0576446,12000,300,300,1000,70,14000
0.1806,0.2486,0.1806,0.129887,0.0915966,0.065854,0.0495371,0.0394535,12000,300,300,1000,350,14000
0.1337,0.1941,0.1337,0.0977418,0.0728131,0.05625,0.0452379,0.0377839,12000,300,300,1000,1400,14000
0.0868,0.1327,0.0868,0.0723725,0.0613023,0.0519326,0.0440021,0.0373817,12000,300,300,1000,14000,14000
2.312,2.908,2.312,1.92594,1.57924,1.30511,1.09236,0.89581,12000,350,300,20,30,500
2.6484,3.786,2.6484,2.11877,1.68913,1.37032,1.14906,0.956381,12000,350,300,20,70,500
1.7909,2.8426,1.7909,1.49674,1.27945,1.10463,0.9503,0.793018,12000,350,300,20,350,500
1.29499,2.27038,1.29499,1.14784,1.03774,0.925624,0.804532,0.674525,12000,350,300,20,1400,500
0.846213,1.78034,0.846214,0.775004,0.716589,0.646121,0.564655,0.476149,12000,350,300,20,14000,500
2.31195,2.90795,2.31196,1.92594,1.57924,1.30511,1.09236,0.89581,12000,350,300,20,30,1000
2.31195,2.90795,2.31196,1.92594,1.57924,1.30511,1.09236,0.89581,12000,350,300,20,70,1000
1.51522,2.03642,1.51522,1.31521,1.15403,1.0149,0.878908,0.735858,12000,350,300,20,350,1000
1.10321,1.54539,1.10321,1.00729,0.919444,0.82361,0.71892,0.60719,12000,350,300,20,1400,1000
0.846213,1.78034,0.846214,0.775004,0.716589,0.646121,0.564655,0.476149,12000,350,300,20,14000,1000
1.9711,1.05283,1.2426,0.862114,1.7091,1.45652,2.21129,1.9711,12000,350,300,20,30,3500
1.84111,1.01306,1.18591,0.835277,1.60238,1.37633,2.06953,1.84111,12000,350,300,20,70,3500
1.46726,0.890145,1.03237,0.738647,1.31253,1.16921,1.65348,1.46725,12000,350,300,20,350,3500
1.08535,0.709466,0.816989,0.59533,1.00428,0.91547,1.2118,1.08535,12000,350,300,20,1400,3500
0.61912,0.426235,0.485126,0.363448,0.582708,0.538004,0.733284,0.61912,12000,350,300,20,14000,3500
1.22206,0.783766,0.912282,0.647675,1.13584,1.03057,1.28448,1.22206,12000,350,300,20,30,12000
1.18174,0.768592,0.891412,0.637498,1.10175,1.00328,1.23969,1.18174,12000,350,300,20,70,12000
1.07246,0.705339,0.815009,0.588178,1.0017,0.914561,1.12623,1.07246,12000,350,300,20,350,12000
0.856406,0.571364,0.655995,0.481392,0.800629,0.733005,0.906395,0.856406,12000,350,300,20,1400,12000
0.402881,0.281895,0.317718,0.244295,0.378814,0.350392,0.447485,0.402881,12000,350,300,20,14000,12000
1.15184,0.744691,0.865437,0.616791,1.07353,0.976089,1.20658,1.15184,12000,350,300,20,30,14000
1.11805,0.732153,0.848046,0.608479,1.04499,0.953221,1.16903,1.11805,12000,350,300,20,70,14000
1.02214,0.675704,0.779974,0.564228,0.956519,0.874406,1.07005,1.02214,12000,350,300,20,350,14000
0.823888,0.551141,0.632497,0.464698,0.771071,0.706406,0.868976,0.823886,12000,350,300,20,1400,14000
0.381787,0.267554,0.301265,0.232214,0.358945,0.33205,0.421564,0.381787,12000,350,300,20,14000,14000
3.55296,4.84703,3.55297,2.74019,2.07677,1.59489,1.31503,1.10821,12000,350,300,50,30,500
3.0134,4.23381,3.0134,2.36031,1.83938,1.46043,1.21801,1.0201,12000,350,300,50,70,500
1.9784,3.04487,1.9784,1.63887,1.37958,1.17487,1.00334,0.833185,12000,350,300,50,350,500
1.40793,2.36309,1.40793,1.24611,1.11686,0.990264,0.857186,0.714686,12000,350,300,50,1400,500
0.891302,1.77674,0.891302,0.826312,0.762963,0.686354,0.598195,0.502679,12000,350,300,50,14000,500
2.73525,3.40126,2.73525,2.22482,1.76845,1.41929,1.17214,0.957926,12000,350,300,50,30,1000
2.43093,3.06397,2.43093,1.99387,1.6133,1.32209,1.10634,0.911537,12000,350,300,50,70,1000
1.69777,2.24763,1.69777,1.45069,1.2507,1.08575,0.934309,0.778159,12000,350,300,50,350,1000
1.20525,1.65074,1.20525,1.09647,0.996473,0.889481,0.773159,0.649443,12000,350,300,50,1400,1000
0.777566,1.17847,0.777566,0.72597,0.670631,0.604005,0.528459,0.447075,12000,350,300,50,14000,1000
1.58534,1.77529,1.58534,1.41133,1.24004,1.08099,0.924638,0.763499,12000,350,300,50,30,3500
1.49661,1.67865,1.4966,1.33642,1.18161,1.03743,0.892886,0.741626,12000,350,300,50,70,3500
0.868883,0.915476,0.868883,0.814766,0.74737,0.670202,0.585484,0.495551,12000,350,300,50,350,3500
0.95092,1.07078,0.95092,0.882171,0.806767,0.722999,0.631979,0.535737,12000,350,300,50,1400,3500
0.534291,0.654756,0.534291,0.501183,0.463779,0.419983,0.371334,0.319664,12000,350,300,50,14000,3500
0.338689,0.38286,0.338689,0.318235,0.295137,0.268853,0.240168,0.210096,12000,350,300,50,30,12000
0.944263,0.992826,0.944263,0.88474,0.810189,0.724943,0.63157,0.532692,12000,350,300,50,70,12000
0.81922,0.860844,0.819221,0.769334,0.706564,0.634325,0.554857,0.470474,12000,350,300,50,350,12000
0.338689,0.38286,0.338689,0.318235,0.295137,0.268853,0.240168,0.210096,12000,350,300,50,1400,12000
0.338689,0.38286,0.338689,0.318235,0.295137,0.268853,0.240168,0.210096,12000,350,300,50,14000,12000
0.904523,0.95039,0.904524,0.847089,0.774925,0.692575,0.602864,0.508355,12000,350,300,50,30,14000
0.884304,0.927518,0.884303,0.829973,0.761153,0.68202,0.595184,0.503135,12000,350,300,50,70,14000
0.81922,0.860844,0.819221,0.769334,0.706564,0.634325,0.554857,0.470474,12000,350,300,50,350,14000
0.675307,0.716028,0.675307,0.633783,0.58289,0.524782,0.461181,0.393872,12000,350,300,50,1400,14000
0.320184,0.35927,0.320184,0.300941,0.279172,0.254431,0.227506,0.199296,12000,350,300,50,14000,14000
1.48527,3.00561,1.48527,0.767488,0.34854,0.144406,0.0731296,0.0622994,12000,350,300,70,30,500
0.818102,2.22214,0.818102,0.334822,0.125988,0.0551385,0.0397894,0.0390026,12000,350,300,70,70,500
0.352422,1.58759,0.352422,0.131114,0.0718663,0.0536722,0.0453402,0.0401584,12000,350,300,70,350,500
0.221106,1.37584,0.221106,0.0980196,0.0704908,0.0557517,0.0460674,0.0395005,12000,350,300,70,1400,500
0.501176,2.99151,0.3137,0.373622,0.172212,0.25811,0.210634,0.501176,12000,350,300,70,14000,500
1.13381,1.9366,1.13381,0.680112,0.369403,0.184356,0.0928953,0.0612205,12000,350,300,70,30,1000
0.661934,1.40876,0.661934,0.333212,0.154016,0.0727928,0.0437973,0.0364232,12000,350,300,70,70,1000
0.305387,0.959378,0.305388,0.139056,0.0773801,0.0547537,0.0447611,0.0390877,12000,350,300,70,350,1000
0.190923,0.788337,0.190923,0.100904,0.071368,0.0557418,0.0458294,0.0392397,12000,350,300,70,1400,1000
0.130598,0.695212,0.130598,0.0846761,0.0697816,0.0572049,0.0468736,0.0391478,12000,350,300,70,14000,1000
0.667086,0.916902,0.667086,0.48633,0.333843,0.218696,0.138701,0.0862884,12000,350,300,70,30,3500
0.429906,0.66572,0.429906,0.284912,0.177822,0.108094,0.0672199,0.0458664,12000,350,300,70,70,3500
0.231601,0.442314,0.231601,0.140438,0.0879406,0.0602475,0.0461581,0.0386994,12000,350,300,70,350,3500
0.156301,0.345506,0.156301,0.100819,0.0721648,0.0557174,0.0453911,0.0386129,12000,350,300,70,1400,3500
0.1028,0.269213,0.1028,0.0793194,0.0660568,0.0550225,0.0459632,0.0387549,12000,350,300,70,14000,3500
0.398032,0.476536,0.398032,0.329949,0.26283,0.202708,0.15159,0.109494,12000,350,300,70,30,12000
0.272251,0.347045,0.272251,0.214181,0.161739,0.118931,0.0860471,0.0617297,12000,350,300,70,70,12000
0.166334,0.235055,0.166334,0.123392,0.0901313,0.0666605,0.0509147,0.0405835,12000,350,300,70,350,12000
0.125401,0.188451,0.125401,0.0939669,0.071642,0.0562181,0.0455737,0.0381311,12000,350,300,70,1400,12000
0.0834656,0.135485,0.0834657,0.0695354,0.0594175,0.0507966,0.0433921,0.0371057,12000,350,300,70,14000,12000
1.16688,1.35337,0.771198,0.968478,0.322867,0.594801,0.445707,1.16688,12000,350,300,70,30,14000
0.85697,1.03381,0.528666,0.686087,0.223336,0.399266,0.299225,0.85697,12000,350,300,70,70,14000
0.5897,0.749466,0.35325,0.460055,0.173192,0.273334,0.215511,0.5897,12000,350,300,70,350,14000
0.472774,0.614649,0.300892,0.376843,0.16344,0.242877,0.198292,0.472774,12000,350,300,70,1400,14000
0.30698,0.411135,0.235979,0.269195,0.148397,0.204705,0.175419,0.30698,12000,350,300,500,14000,14000
3.81889,7.36369,3.81889,2.08666,1.04429,0.52453,0.346962,0.314439,12000,350,300,500,30,500
2.2385,5.52747,2.2385,1.04299,0.488307,0.284318,0.215437,0.190526,12000,350,300,500,70,500
1.0879,3.97736,1.0879,0.521104,0.331778,0.250039,0.2037,0.176618,12000,350,300,500,350,500
0.745715,3.44036,0.745715,0.423969,0.318109,0.250943,0.205468,0.172021,12000,350,300,500,1400,500
0.463786,1.76317,0.463786,0.348836,0.296489,0.248077,0.205316,0.169084,12000,350,300,500,14000,500
2.93577,4.80698,2.93577,1.84009,1.06602,0.595289,0.369991,0.291711,12000,350,300,500,30,1000
1.83799,3.58927,1.83799,1.02535,0.555375,0.32923,0.236122,0.193864,12000,350,300,500,70,1000
0.959798,2.49725,0.959797,0.529553,0.340789,0.251054,0.204889,0.174412,12000,350,300,500,350,1000
0.658342,2.05398,0.658342,0.419883,0.315716,0.249716,0.203668,0.170735,12000,350,300,500,1400,1000
0.535534,3.12784,0.535535,0.3576,0.304848,0.254111,0.209126,0.170999,12000,350,300,500,14000,1000
1.7301,2.31123,1.7301,1.29832,0.925922,0.639586,0.434822,0.297114,12000,350,300,500,30,3500
1.20438,1.75585,1.20438,0.850172,0.577552,0.391191,0.275296,0.208925,12000,350,300,500,70,3500
0.74097,1.23649,0.74097,0.506552,0.355907,0.263927,0.208752,0.173396,12000,350,300,500,350,3500
0.544378,0.98562,0.544378,0.397456,0.306827,0.244899,0.200614,0.167184,12000,350,300,500,1400,3500
0.368409,0.746702,0.36841,0.308029,0.26607,0.227301,0.192075,0.160733,12000,350,300,500,14000,3500
1.0357,1.21467,1.0357,0.875387,0.714213,0.566745,0.438296,0.328906,12000,350,300,500,30,12000
0.768029,0.939918,0.768029,0.628477,0.498123,0.387592,0.298537,0.227402,12000,350,300,500,70,12000
0.53997,0.699425,0.53997,0.431301,0.339966,0.268847,0.215015,0.173833,12000,350,300,500,350,12000
0.53997,0.699425,0.53997,0.431301,0.339966,0.268847,0.215015,0.173833,12000,350,300,500,1400,12000
0.290089,0.407473,0.290089,0.254471,0.22455,0.196189,0.169427,0.144518,12000,350,300,500,14000,12000
0.97222,1.12715,0.97222,0.830487,0.685556,0.550749,0.431092,0.327192,12000,350,300,500,30,14000
0.725188,0.873927,0.725188,0.601606,0.483815,0.381648,0.297232,0.228,12000,350,300,500,70,14000
0.517016,0.655209,0.517016,0.419288,0.334812,0.267354,0.214863,0.173823,12000,350,300,500,350,14000
0.424797,0.552218,0.424797,0.34894,0.286117,0.235507,0.194789,0.161629,12000,350,300,500,1400,14000
0.281574,0.383457,0.281574,0.248097,0.219394,0.192142,0.166293,0.142133,12000,350,300,1000,14000,14000
1.48527,3.00561,1.48527,0.767488,0.34854,0.144406,0.0731296,0.0622994,12000,350,300,1000,30,500
0.818102,2.22214,0.818102,0.334822,0.125988,0.0551385,0.0397894,0.0390026,12000,350,300,1000,70,500
0.352422,1.58759,0.352422,0.131114,0.0718663,0.0536722,0.0453402,0.0401584,12000,350,300,1000,350,500
0.221106,1.37584,0.221106,0.0980196,0.0704908,0.0557517,0.0460674,0.0395005,12000,350,300,1000,1400,500
0.676162,0.802786,0.920743,1.02312,1.11797,1.31508,3.84662,1.31508,12000,350,300,1000,14000,500
1.13381,1.9366,1.13381,0.680112,0.369403,0.184356,0.0928953,0.0612205,12000,350,300,1000,30,1000
0.661934,1.40876,0.661934,0.333212,0.154016,0.0727928,0.0437973,0.0364232,12000,350,300,1000,70,1000
0.305387,0.959378,0.305388,0.139056,0.0773801,0.0547537,0.0447611,0.0390877,12000,350,300,1000,350,1000
0.190923,0.788337,0.190923,0.100904,0.071368,0.0557418,0.0458294,0.0392397,12000,350,300,1000,1400,1000
0.130598,0.695212,0.130598,0.0846761,0.0697816,0.0572049,0.0468736,0.0391478,12000,350,300,1000,14000,1000
0.667086,0.916902,0.667086,0.48633,0.333843,0.218696,0.138701,0.0862884,12000,350,300,1000,30,3500
0.429906,0.66572,0.429906,0.284912,0.177822,0.108094,0.0672199,0.0458664,12000,350,300,1000,70,3500
0.231601,0.442314,0.231601,0.140438,0.0879406,0.0602475,0.0461581,0.0386994,12000,350,300,1000,350,3500
0.125401,0.188451,0.125401,0.0939669,0.071642,0.0562181,0.0455737,0.0381311,12000,350,300,1000,1400,3500
0.1028,0.269213,0.1028,0.0793194,0.0660568,0.0550225,0.0459632,0.0387549,12000,350,300,1000,14000,3500
0.706013,0.772126,0.706013,0.638671,0.56439,0.488706,0.413642,0.339859,12000,350,300,1000,30,12000
0.653785,0.715744,0.653784,0.592774,0.526406,0.459078,0.391919,0.325257,12000,350,300,1000,70,12000
0.589105,0.6465,0.589105,0.536164,0.479041,0.420706,0.361912,0.303035,12000,350,300,1000,350,12000
0.272936,0.317266,0.272936,0.254369,0.234394,0.212266,0.188642,0.164286,12000,350,300,1000,1400,12000
0.272936,0.317266,0.272936,0.254369,0.234394,0.212266,0.188642,0.164286,12000,350,300,1000,14000,12000
1.48527,3.00561,1.48527,0.767488,0.34854,0.144406,0.0731296,0.0622994,12000,350,300,1000,30,14000
0.818102,2.22214,0.818102,0.334822,0.125988,0.0551385,0.0397894,0.0390026,12000,350,300,1000,70,14000
0.352422,1.58759,0.352422,0.131114,0.0718663,0.0536722,0.0453402,0.0401584,12000,350,300,1000,350,14000
0.221106,1.37584,0.221106,0.0980196,0.0704908,0.0557517,0.0460674,0.0395005,12000,350,300,1000,1400,14000
1.13381,1.9366,1.13381,0.680112,0.369403,0.184356,0.0928953,0.0612205,12000,350,300,1000,14000,14000
